Item Code,Item,CodeCateg
2731,Bovine Meat,1
2732,Mutton & Goat Meat,1
2733,Pigmeat,1
2734,Poultry Meat,1
2735,Meat,1
2736,"Offals, Edible",1
2740,"Butter, Ghee",1
2743,Cream,1
2737,"Fats, Animals, Raw",1
2744,Eggs,1
2848,Milk - Excluding Butter,1
2761,Freshwater Fish,1
2781,"Fish, Body Oil",1
2782,"Fish, Liver Oil",1
2762,Demersal Fish,1
2763,Pelagic Fish,1
2764,Marine Fish,1
2765,Crustaceans,1
2766,Cephalopods,1
2767,Molluscs,1
2769,Aquatic Animalss,1
2775,Aquatic Plants,1
2768,"Meat, Aquatic Mammals",1
2511,Wheat,2
2805,Rice,2
2513,Barley,2
2514,Maize,2
2515,Rye,2
2516,Oats,2
2517,Millet,2
2518,Sorghum,2
2520,Cereals,2
2532,Cassava,2
2531,Potatoes,2
2533,Sweet potatoes,2
2535,Yams,2
2534,Roots,2
2536,Sugar cane,2
2537,Sugar beet,2
2541,Sugar non-centrifugal,2
2542,Sugar (Raw Equivalent),2
2543,Sweeteners,2
2745,Honey,2
2546,Beans,2
2547,Peas,2
2549,Pulses,2
2551,Nuts,2
2555,Soyabeans,2
2556,Groundnuts (Shelled Eq),2
2557,Sunflower seed,2
2558,Rape and Mustardseed,2
2559,Cottonseed,2
2560,Coconuts - Incl Copra,2
2561,Sesame seed,2
2562,Palm kernels,2
2563,Olives (including preserved),2
2570,Oilcrops,2
2571,Soyabean Oil,2
2572,Groundnut Oil,2
2573,Sunflowerseed Oil,2
2574,Rape and Mustard Oil,2
2575,Cottonseed Oil,2
2576,Palmkernel Oil,2
2577,Palm Oil,2
2578,Coconut Oil,2
2579,Sesameseed Oil,2
2580,Olive Oil,2
2581,Ricebran Oil,2
2582,Maize Germ Oil,2
2586,Oilcrops Oil,2
2601,Tomatoes,2
2602,Onions,2
2605,Vegetables,2
2611,"Oranges, Mandarines",2
2612,"Lemons, Limes",2
2613,Grapefruit,2
2614,Citrus,2
2615,Bananas,2
2616,Plantains,2
2617,Apples,2
2618,Pineapples,2
2619,Dates,2
2620,Grapes (excl wine),2
2625,Fruits,2
2630,Coffee,2
2633,Cocoa Beans,2
2635,Tea (including mate),2
2640,Pepper,2
2641,Pimento,2
2642,Cloves,2
2645,Spices,2
2655,Wine,2
2656,Beer,2
2657,"Beverages, Fermented",2
2658,"Beverages, Alcoholic",2
2659,"Alcohol, Non-Food",2
2680,Infant food,2
2899,Miscellaneous,2
2511,Wheat,3
2805,Rice,3
2513,Barley,3
2514,Maize,3
2515,Rye,3
2516,Oats,3
2517,Millet,3
2518,Sorghum,3
2520,Cereals,3
